STCODE,FORMAT,FAMILY,GENUS,SPECIES,SSP,VARIETY,AUTHOR,AUTHOR2,COMMON,SYNONYMS,HABITAT,ZONE,ABUNDANCE,ACRONYM
SA002,1,"COMPOSITAE","Agoseris","aurantiaca","","aurantiaca","(Hook.) Greene","","Orange Agoseris","A. gracilens","Dry, open sites; montane to alpine.","TSHE, ABAM",O,"AGAU"
SA002,1,"COMPOSITAE","Agoseris","grandiflora","","","(Nutt.) Greene","","Large-Flowered Agoseris","","Open places up to middle elevations in the mountains.","mid TSHE to ABAM",O,"AGGR"
SA002,1,"COMPOSITAE","Agoseris","heterophylla","","heterophylla","(Nutt.) Greene","","Annual Agoseris","","Dry, open places in the foothills and lower elevations.","TSHE to ABAM",O,"AGHE"
SA002,1,"COMPOSITAE","Anaphalis","margaritacea","","","(L.) B. & H.","","Common Pearly Everlasting","A. subalpina","Dry, open, often rocky or disturbed sites up to fairly high elevations.","TSHE to lower ABAM",F,"ANMA"
SA002,1,"COMPOSITAE","Antennaria","microphylla","","","Rydb.","","Rosy Pussy Toes","A. arida, A. rosea","Mostly dry meadows and open woods.","ABAM",O,"ANMI2"
SA002,1,"COMPOSITAE","Antennaria","racemosa","","","Hook.","","Raceme Pussy Toes","","Open woods and mountain slopes.","mid TSHE to ABAM",O,"ANRA"
SA002,1,"COMPOSITAE","Anthemis","cotula","","","L.","","Mayweed Chamomile, Stinking Mayweed","","Introduced Eurasian weed of rocky, disturbed places.","TSHE",I,"ANCO"
SA002,1,"COMPOSITAE","Arnica","amplexicaulis","","amplexicaulis","Nutt.","","Clasping or Streambank Arnica","","Stream banks and moist woods.","TSHE",I,"ARAM"
SA002,1,"COMPOSITAE","Arnica","cordifolia","","cordifolia","Hook.","","Heart-Leaf Arnica","","Open woods from foothills to midmontane","ABAM",I,"ARCO"
SA002,1,"COMPOSITAE","Arnica","discoidea","","eradiata","Benth.","(Gray) Cronq.","Rayless Arnica","","Open woods.","TSHE",I,"ARDI"
SA002,1,"COMPOSITAE","Arnica","diversifolia","","","Green","","Sticky Arnica","","Rocky places at middle and high elevations.","ABAM",I,"ARDI2"
SA002,1,"COMPOSITAE","Arnica","latifolia","","latifolia","Bong.","","Mountain Arnica","","Moist woods, meadows and open places in the mountains.","ABAM",O,"ARLA"
SA002,1,"COMPOSITAE","Artemisia","ludoviciana","","latiloba","Nutt.","Nutt.","Western Mugwort, Louisiana Sagewort, Prairie Sage","A. candicans","Open places; low to moderate elevations in the mountains.","ABAM",O,"ARLU"
SA002,1,"COMPOSITAE","Aster","foliaceus","","foliaceus","Lindl.","","Leafy or Leafy-Bract Aster","","Dry, open sites to middle elevations.","ABAM",I,"ASFO"
SA002,1,"COMPOSITAE","Aster","ledophyllus","","ledophyllus","Gray","","Cascade Aster","","Meadows and open woods; up to timberline.","ABAM",I,"ASLE2"
SA002,1,"COMPOSITAE","Aster","oregonensis","","","(Nutt.) Cronq.","","Oregon White-topped Aster","","Open woods.","TSHE",I,"ASOR2"
SA002,1,"COMPOSITAE","Aster","radulinus","","","Gray","","Rough-leaved Aster","A. eliasii","Open woodlands.","mainly ABAM",I,"ASRA"
SA002,1,"COMPOSITAE","Chrysanthemum","leucanthemum","","","L.","","Marguerite, Ox-eyed Daisy, Moon Daisy","Leucanthemum vulgare","Naturalized form Eurasia, moist to fairly dry disturbed sites.","TSHE",O,"CHLE2"
SA002,1,"COMPOSITAE","Cirsium","arvense","","horridum","(L.) Scop.","Wimm. & Grab.","Canadian or Creeping Thistle","","Introduced Eurasian weed of disturbed sites.","TSHE",I,"CIAR"
SA002,1,"COMPOSITAE","Cirsium","brevistylum","","","Cronq.","","Short-Styled Thistle","C. edule, misapplied","Moist places up to middle elevations in the mountains.","TSHE",I,"CIBR2"
SA002,1,"COMPOSITAE","Cirsium","callilepis","","oregonense","(Greene) Jeps.","(Petr.) J.T. Howell","Mountain Thistle","C. centaureae","Open places from lowland to middle elevation in the mountains.","mainly ABAM",O,"CICAO"
SA002,1,"COMPOSITAE","Conyza","canadensis","","glabrata","(L.) Cronq.","(Gray) Cronq.","Horseweed, Canada Fleabane","Erigeron C.","Native weed of disturbed sites.","TSHE",I,"COCA2"
SA002,1,"COMPOSITAE","Crepis","setosa","","","Hall f.","","Rough Hawksbeard","","Introduced European weed of waste places.","TSHE",I,"CRSE"
SA002,1,"COMPOSITAE","Erigeron","aliceae","","","Howell","","Alice's Fleabane, Eastwoods' Daisy","","Dry, open places in the mountains.","ABAM",O,"ERAL"
SA002,1,"COMPOSITAE","Erigeron","cascadensis","","","Heller","","Cascade Daisy","","Rocky places at middle to high elevations.","ABAM",O,"ERCA6"
SA002,1,"COMPOSITAE","Erigeron","foliosus","","confinis","Nutt.","(Howell) Jeps.","Leafy Erigeron","E. c.","Dry, often rocky places ; middle to high elevations.","ABAM",O,"ERFO"
SA002,1,"COMPOSITAE","Erigeron","philadelphicus","","","L.","","Philadelphia Daisy or Fleabane","","Native American weed of moist places.","TSHE, ABAM",I,"ERPH"
SA002,1,"COMPOSITAE","Eriophyllum","lanatum","","lanatum","(Pursh) Forbes","","Common Eriophyllum, Wooly Sunflower","","Dry, open places; lowland to middle elevations in the mountains.","TSHE to ABAM",F,"ERLA"
SA002,1,"COMPOSITAE","Gnaphalium","microcephalum","","thermale","Nutt.","(E. Nels.) Cronq.","Slender or White Cudweed","G. t.","Open, generally dry places, especially burned-over areas.","TSHE",I,"GNMI"
SA002,1,"COMPOSITAE","Gnaphalium","purpureum","","purpureum","L.","","Purple Cudweed","","American weed of sandy soil, often of disturbed places.","TSHE",I,"GNPU"
SA002,1,"COMPOSITAE","Haplopappus","hallii","","","Gray","","Hall's Goldenweed, Hesperodoria","","Dry, open slopes and ridges.","ABAM",O,"HAHA"
SA002,1,"COMPOSITAE","Hieracium","albiflorum","","","Hook.","","White-Flowered Hawkweed","","Fairly moist slopes and open woods.","TSHE to ABAM; TSME",F,"HIAL"
SA002,1,"COMPOSITAE","Hieracium","cynoglossoides","","","Arv.-Touv.","","Houndstongue Hawkweed","H. griseum","Dry, open meadows at lower to middle elevations.","ABAM",I,"HICY"
SA002,1,"COMPOSITAE","Hieracium","scouleri","","","Hook.","","Woolly Weed","","Dry, open woods at middle to upper elevations.","ABAM",O,"HISC"
SA002,1,"COMPOSITAE","Hypochaeris","radicata","","","L.","","Spotted or Hairy Cats-ear, Gosmore","","Mainly disturbed sites, moist to fairly dry.","TSHE to lower ABAM",I,"HYRA"
SA002,1,"COMPOSITAE","Lactuca","biennis","","","(Moench) Fern","","Tall Blue Lettuce","L. spicata, misapplied","Weed of moist places.","TSHE",I,"LABI2"
SA002,1,"COMPOSITAE","Lactuca","muralis","","","(L.) Fresen.","","Wall Lettuce","","European weed of moist places, often in open woods,","TSHE",O,"LAMU"
SA002,1,"COMPOSITAE","Lactuca","serriola","","","L.","","Prickly Lettuce","L. scariola, a variant spelling","European weed of fields and waste places.","TSHE",I,"LASE"
SA002,1,"COMPOSITAE","Luina","stricta","","","(Greene) Rob.","","Tongue-leaf Luina","Psacalium s., Rainiera s.","Meadows and moist open slopes at higher elevations.","ABAM",O,"LUST"
SA002,1,"COMPOSITAE","Madia","gracilis","","","(J. E. Smith) Keck","","Slender or Common Tarweed, Gum Weed","M. dissitiflora","Dry, open places, often along roadsides, valleys to middle elevations in the mountains.","TSHE to lower ABAM",O,"MAGR"
SA002,1,"COMPOSITAE","Madia","madioides","","","(Nutt.) Greene","","Woodland Tarweed","","Open woods, dry soil, also opoen slopes.","mainly TSHE",O,"MAMA"
SA002,1,"COMPOSITAE","Madia","minima","","","(Gray) Keck","","Small-Head Tarweed","Hemizonella m., H. durandii","Dry, open meadows to rock out crops.","upper TSHE to ABAM",I,"MAMI"
SA002,1,"COMPOSITAE","Microseris","nutans","","","(Geyer) Schultz-Bip.","","Nodding Microseris","P. major","Generally in open, rather moist places; low to fairly high elevations in the mountains.","ABAM, TSME",O,"MINU"
SA002,1,"COMPOSITAE","Petasites","frigidus","","palmatus","(L.) Fried.","(Ait.) Cronq.","Sweet Coltsfoot, Alpine or Arctic Butterbur","P. p., P. speciosus","Moist meadows, swampy places, moist woods and along streams up to middle elevations.","TSHE to mid ABAM",F,"PEFR2"
SA002,1,"COMPOSITAE","Rudbeckia","occidentalis","","occidentalis","Nutt.","","Black Head","","Stream banks, moist woods and meadows at middle to upper elevations.","lower ABAM on up",O,"RUOC"
SA002,1,"COMPOSITAE","Senecio","bolanderi","","harfordii","Gray","(Greene) T.M. Barkley","Bolander's Groundsel","S. h.","Moist, rocky woods, fairly open.","TSHE to lower ABAM",O,"SEBO"
SA002,1,"COMPOSITAE","Senecio","integerrimus","","exaltatus","Nutt.","(Nutt.) Cronq.","Western Groundsel, One-stemmed Butterweed","","Open places at middle to upper elevations.","ABAM",O,"SEIN"
SA002,1,"COMPOSITAE","Senecio","jacobaea","","","L.","","Tansy Ragwort","","Introduced Eurasian weed of disturbed, open places.","mainly TSHE",O,"SEJA"
SA002,1,"COMPOSITAE","Senecio","sylvaticus","","","L.","","Wood Groundsel","","Introduced Eurasian weeds of open disturbed places.","TSHE to lower ABAM",O,"SESY"
SA002,1,"COMPOSITAE","Senecio","triangularis","","triangularis","Hook.","","Arrowleaf Groundsel","","Stream banks and other moist places; low to fairly high elevations","lower ABAM on up, TSME",F,"SETR"
SA002,1,"COMPOSITAE","Solidago","canadensis","","salebrosa","L.","(Piper) Jones","Canadian or Meadow Goldenrod","S. elongata","Generally moist woil in meadows and other open places; low to fairly high elevations.","ABAM, TSME",O,"SOCA"
SA002,1,"COMPOSITAE","Sonchus","asper","","","(L.) Hill","","Prickly Sow Thistle","","Introduced European weed of open, disturbed places.","TSHE",I,"SOAS"
SA002,1,"COMPOSITAE","Stellaria","calycantha","","calycantha","(Ledeb.) Bong.","","Northern Startwort","S. borealis, S. lanceolata, S. oxyphylla","Occasional in mountains.","ABAM",O,"STCA2"
SA002,1,"COMPOSITAE","Taraxacum","officinale","","","Weber","","Common Dandelion","T. vulgare, Leontodon taraxacum","Introduced species of open, disturbed places.","TSHE to ABAM",O,"TAOF"
SA002,1,"COMPOSITAE","Tragopogon","dubius","","","Scop.","","Yellow Salsify","T. major","Introduced European species, generally of open, disturbed places","TSHE to lower ABAM",I,"TRDU"
SA002,1,"CONVOLVULIACEAE","Convolvulus","nyctagineus","","","Greene","","Night Blooming Morning-Glory","C. atriplicifolia","Mostly on dry, rocky, open slopes.","to upper TSHE",I,"CONY"
SA002,1,"CORNACEAE","Cornus","canadensis","","","L.","","Bunchberry, Puddingberry, Dwarf Cornel","C. unalaschkensis","Moist woods; mainly at middle to higher elevations.","mid TSHE to ABAM; TSME",A,"COCA"
SA002,1,"CORNACEAE","Cornus","nuttallii","","","Aud.","","Pacific, Mountain, or Western Flowering Dogwood","","Open to rather dense forests, especially along streams.","TSHE",F,"CONU"
SA002,1,"CRASSULACEAE","Sedum","oreganum","","","Nutt.","","Oregon Stonecrop","Gormania o.","Cliffs, ridges, and talus in the mountains.","upper TSHE to ABAM",O,"SEOR2"
SA002,1,"CRASSULACEAE","Sedum","oregonense","","","(Wats.) Peck","","Creamy Stonecrop","","Lava flows and rocky slopes.","mid TSHE to ABAM",O,"SEOR3"
SA002,1,"CRASSULACEAE","Sedum","spathulifolium","","","Hook.","","Spatula or Broad Leafed Stonecrop","","Lower cliffs and ledges into dry sites in the foothills.","TSHE to lower ABAM",O,"SESP"
SA002,1,"CRASSULACEAE","Sedum","stenopetalum","","","Pursh.","","Wormleaf Stonecrop","S. douglasii","Dry, open ridges, rocky slopes, and cliffs; to subalpine.","mostly ABAM",O,"SEST"
SA002,1,"CRUCIFERAE","Arabis","hirsuta","","glabrata","(L.) Scop.","T. & G.","Hairy Rockcress","A. rupestris, Turritis spathulata","Meadows, woods, or open slopes in the mountains.","TSHE to lower ABAM",O,"ARHI"
SA002,1,"CRUCIFERAE","Arabis","holboellii","","retrofracta","Hornem.","(Grah.) Rydb.","Holboell's Rockcress","A. caduca, A. consanguinea, A. exilis, A. lignipes, A. retrofracta, A. rhodantha","Open, midmontane ridges.","ABAM",O,"ARHO"
SA002,1,"CRUCIFERAE","Barbarea","orthoceras","","","Ledeb.","","American Wintercress","B. americana, Campe barbarea","Moist areas from lowland into mountains.","TSHE to lower ABAM",I,"BAOR"
SA002,1,"CRUCIFERAE","Cardamine","breweri","","breweri","Wats.","","Brewer's Bittercress","C. callosicrenata, C. hederaefolia, C. oregana, C. vallicola","Shady, wet places often along streambanks.","TSHE to lower ABAM",O,"CABR2"
SA002,1,"CRUCIFERAE","Cardamine","occidentalis","","","(Wats.) Howell","","Western Bittercress","","Wet places, especially along streams.","upper TSHE",O,"CAOC"
SA002,1,"CRUCIFERAE","Cardamine","oligosperma","","kamtschatica","Nutt.","(Regel) Detl.","Little Western or Few-seeded Bittercress","","Subalpine cliffs and talus slopes.","ABAM",I,"CAOL"
SA002,1,"CRUCIFERAE","Cardamine","oligosperma","","oligosperma","Nutt.","","Little Western or Few-seeded Bittercress","C. umbellata, C. unijuga","Mostly in moist to wet, slightly shaded places.","TSHE",O,"CAOL"
SA002,1,"CRUCIFERAE","Cardamine","pulcherrima","","pulcherrima","Greene","","Slender Toothwort","Dentaria macrocarpa, C. quercetorum, C. tenella var. dissecta","Moist, semi-open woods.","TSHE to lower ABAM",F,"CAPU2"
SA002,1,"CRUCIFERAE","Cardamine","pulcherrima","","tenella","Greene.","(Pursh.) Hitchc.","Slender Toothwort","C. nuttallii","Moist, semi-open to shady woods.","TSHE",O,"CAPU2"
SA002,1,"CRUCIFERAE","Erysimum","asperum","","","(Nutt.) DC.","","Rough Wallflower, Prairie Rocket","Cheirinia argillosa, C. asperrima, C. elata, E. capitatum","Dry, open slopes in the mountains.","lower ABAM on up",O,"ERAS"
SA002,1,"CRUCIFERAE","Rorippa","curvisiliqua","","curvisiliqua","(Hook.) Bessey","","Western Yellowcress","","Moist soil, lowland to montane.","to upper TSHE",I,"ROCU"
SA002,1,"CRUCIFERAE","Rorippa","nasturtium-aquaticum","","","(L.) Schinz and Thell.","","Water Cress","Sisymbrium n.","Emergent in quiet streams and marshy areas.","TSHE",I,"RONA"
SA002,1,"CUPRESSACEAE","Calocedrus","decurrens","","","(Torr.) Florin.","","Incense Cedar","Thuja d., Libocedrus d., T. craigana","Mixed coniferous forests, often in the drier sites.","lower to mid TSHE, rarely lower ABAM",O,"CADE3"
SA002,1,"CUPRESSACEAE","Chamaecyparis","nootkatensis","","","(D. Don)","","Spach, Alaskan, Nootka, Sitka or Yellow Cedar","Cupressus n.","Mostly at 2000-7000 ft. elevation in cool, moist forest or rocky ridges.","ABAM",I,"CHNO"
SA002,1,"CUPRESSACEAE","Juniperus","communis","","montana","L.","Ait.","Common or Mountain Juniper","J. nana, J. sibirica","Lowland woods to mountain valleys, mostly rocky outcrops or rocky alpine slopes.","ABAM, TSHE",O,"JUCO4"
SA002,1,"CUPRESSACEAE","Thuja","plicata","","","Donn.","","Red, Western Red, or Pacific Red Cedar","","Shady woods, mainly where wet or swampy, but also along north- facing ridgetops.","TSHE to lower ABAM",O,"THPL"
SA002,1,"CYPERACEAE","Agropyron","caninum","majus (Vasey)","andinum","(L.) Beauv.","(Scribn & Smith) Hitch.","Bearded Wheatgrass","","Mountain Meadows. Open places, lowland to montane.","mainly ABAM",O,"AGCA"
SA002,1,"CYPERACEAE","Carex","abrupta","","","Mackenzie","","","","Wet places in the mountains.","ABAM",I,"CAAB2"
SA002,1,"CYPERACEAE","Carex","amplifolia","","","Boott","","Big-leaf or Ample-leaf Sedge","","Wet places; lowland to midmontane","TSHE",I,"CAAM"
SA002,1,"CYPERACEAE","Carex","aperta","","","Boott","","Columbia Sedge","C. turgidula","Wet low ground.","upper TSHE to lower ABAM",I,"CAAP3"
SA002,1,"CYPERACEAE","Carex","aquatilis","","","Wahl.","","Water Sedge","C. substricta, C. suksdorfii, C. aperta f. cinnula","In shallow water or wet places ; foothills to near timberline.","mainly ABAM; TSME",O,"CAAQ"
SA002,1,"CYPERACEAE","Carex","brevicaulis","","","Mack.","","Short-Stemmed Sedge","","Generally in rather dry soil.","TSHE to ABAM",I,"CABR4"
SA002,1,"CYPERACEAE","Carex","deweyana","","","Schw.","","Dewey's Sedge","C. bolanderi, C. leptopoda","Stream banks and moist openings in the forest; near sea level to near timberline","TSHE to ABAM",O,"CADE"
SA002,1,"CYPERACEAE","Carex","hendersonii","","","Bailey","","Henderson's Sedge","","Swampy places to wet woods; lowlands to lower montane","to upper TSHE",I,"CAHE"
SA002,1,"CYPERACEAE","Carex","hoodii","","","Boott","","Hood's Sedge","","Open or thinly wooded slopes and dry to moderately moist meadows and openings; up to near timberline","mainly ABAM",I,"CAHO"
SA002,1,"CYPERACEAE","Carex","interior","","","Bailey","","Inland Sedge","","Swamps and other wet places; lowland to midmontane","TSHE to ABAM",I,"CAIN5"
SA002,1,"CYPERACEAE","Carex","interrupta","","","Boeck.","","Green-Fruited Sedge","C. verticillata Boott","Rocky banks and beds of streams, other wet, swampy places.","ABAM, TSME",I,"CAIN3"
SA002,1,"CYPERACEAE","Carex","jonesii","","","Bailey","","Jones' Sedge","C. nervina var. j.","Moist to boggy places; midmontane to nearly timberline.","ABAM",I,"CAJO"
SA002,1,"CYPERACEAE","Carex","laeviculmis","","","Meinsh.","","Smooth-stem Sedge","","Wet, wooded places from lowland to midmontane","TSHE to ABAM",I,"CALA"
SA002,1,"CYPERACEAE","Carex","lenticularis","","lenticularis","Michx.","","","C. kelloggii","Wet places; lowlands to high montane","ABAM",O,"CALE5"
SA002,1,"CYPERACEAE","Carex","luzulina","","","Olney","","Woodrush Sedge","C. ablata, C. fissuricola","Bogs and wet places in general; foothills to subalpine","ABAM, TSME",O,"CALU"
SA002,1,"CYPERACEAE","Carex","mertensii","","","Prescott","","Mertens' Sedge","C. columbiana","Wet places; lowlands to fairly high montane","upper TSHE to ABAM",O,"CAME2"
SA002,1,"CYPERACEAE","Carex","muricata","","","L.","","Muricate Sedge","C. stellulata, C. sterilis, C. angustior, C. cephalantha, C. ormantha","Swamps, bogs, and other wet places; lowland to midmontane","upper TSHE to ABAM",O,"CAMU2"
SA002,1,"CYPERACEAE","Carex","pachystachya","","","Cham.","","Thick-headed Sedge","C. macloviana var. p., C. mariposana, C. preslii, C. multimoda, C. olympica, C. platylepis","Open, often rather dry slopes, to wet places; lowland to subalpine","TSHE to ABAM ;TSME",O,"CAPA"
SA002,1,"CYPERACEAE","Carex","pensylvanica","","vespertina","Lam.","L.H. Bailey","Long-Stolon Sedge","C. inops, C.verecunda, C. vespertina","Open, rather dry woods and meadows.","ABAM, TSME",O,"CAPE5"
SA002,1,"CYPERACEAE","Carex","rossii","","","Boott","","Ross' Sedge","C. brevipes C. diversistylis C. farwellii","Dry to fairly moist sites in forests or meadows; lowland to near timberline.","ABAM, TSME",O,"CARO"
SA002,1,"CYPERACEAE","Carex","rostrata","","","Stokes","","Beaked sedge","C. inflata, C. utriculata, C. u. var. minor","Wet to boggy places; lowland to midmontane.","TSHE to ABAM; TSME",O,"CARO2"
SA002,1,"CYPERACEAE","Carex","subfusca","","","W. Boott","","rusty Sedge","C. macloviana var. s. C. teneraeformis","Moist to dry soil in open places; generally midmontane.","TSHE to ABAM",I,"CASU4"
SA002,1,"CYPERACEAE","Carex","vescaria","","vesicaria","L.","","Inflated Sedge","","Mostly wet, open places; lowland to midmontane.","upper TSHE",I,"CAVE"
SA002,1,"CYPERACEAE","Eriophorum","gracile","","","Koch","","Slender Cotton-grass","Scirpus ardea","Wet places; mid to high montane.","mostly ABAM",I,"ERGR2"
SA002,1,"CYPERACEAE","Scirpus","congdonii","","","Britt.","","Congdon's Bulrush","S. c. var. minor","Open, wet places in the mountains.","mainly ABAM; TSME",O,"SCCO"
